CurrentLocalTime,FlightState,accel.getAccelX_mss(),gyro.getGyroX_rads(),errorX,cumErrorX,rateErrorX,lastErrorX,outputX,rotatedOutputX,ServoXwrite,ServoX,x,accel.getAccelY_mss(),gyro.getGyroY_rads(),errorY,cumErrorY,rateErrorY,lastErrorY,outputY,rotatedOutputY,ServoYwrite,ServoY,y,z,accel.getAccelZ_mss(),gyro.getGyroZ_rads(),pyro1_State,pyro2_State,pyro3_State,accel.getTemperature_C()
1.37,1,11.53,-0.12,0.01,0,1.42,0.01,0.72,0.37,89.82,90.18,-0.01,0.51,0.06,0.01,0,0.6,0.01,0.3,0.69,89.65,90.35,-0.01,0.09,0.49,-0.08,0,0,0,20.63
1.37,1,11.47,-0.2,0.01,0,1.42,0.01,0.72,0.37,89.82,90.18,0.01,0.53,0.11,0.01,0,0.6,0.01,0.3,0.69,89.65,90.35,-0.02,0.12,0.58,-0.12,0,0,0,20.63
1.38,1,11.49,-0.2,0.01,0,1.42,0.01,0.72,0.37,89.82,90.18,-0.01,0.55,0,0.01,0,0.6,0.01,0.3,0.69,89.65,90.35,-0.02,0.17,0.42,-0.07,0,0,0,20.63
1.38,1,11.51,-0.17,0.01,0,1.42,0.01,0.72,0.37,89.82,90.18,-0.01,0.42,-0.04,0.01,0,0.6,0.01,0.3,0.69,89.65,90.35,-0.03,0.21,0.56,-0.05,0,0,0,20.63
1.38,1,11.61,-0.01,0.01,0,1.42,0.01,0.72,0.37,89.82,90.18,-0.01,0.45,0.05,0.01,0,0.6,0.01,0.3,0.69,89.65,90.35,-0.03,0.21,0.6,0.07,0,0,0,20.63
1.38,1,11.64,-0.16,0.01,0,1.42,0.01,0.72,0.37,89.82,90.18,-0.04,0.39,-0.04,0.01,0,0.6,0.01,0.3,0.69,89.65,90.35,-0.02,0.28,0.65,-0.06,0,0,0,20.63
1.38,1,11.84,-0.16,0.03,0,2.07,0.03,1.07,0.37,89.82,90.18,-0.03,0.49,-0.11,0.01,0,0.3,0.01,0.16,0.69,89.65,90.35,-0.01,0.3,0.71,0.03,0,0,0,20.63
1.38,1,11.79,-0.06,0.03,0,2.07,0.03,1.07,0.37,89.82,90.18,-0.05,0.57,-0.04,0.01,0,0.3,0.01,0.16,0.69,89.65,90.35,-0.01,0.34,0.61,-0.06,0,0,0,20.63
1.39,1,11.72,-0.11,0.03,0,2.07,0.03,1.07,0.37,89.82,90.18,-0.1,0.41,0.05,0.01,0,0.3,0.01,0.16,0.69,89.65,90.35,-0.02,0.37,0.62,0.01,0,0,0,20.63
1.39,1,11.72,-0.01,0.03,0,2.07,0.03,1.07,0.37,89.82,90.18,-0.1,0.56,0.08,0.01,0,0.3,0.01,0.16,0.69,89.65,90.35,-0.02,0.37,0.68,0.11,0,0,0,20.63
1.39,1,11.74,-0.09,0.03,0,2.07,0.03,1.07,0.37,89.82,90.18,-0.1,0.47,-0.01,0.01,0,0.3,0.01,0.16,0.69,89.65,90.35,-0.03,0.4,0.68,0.03,0,0,0,20.63
1.39,1,11.77,-0.02,0.03,0,2.07,0.03,1.07,0.37,89.82,90.18,-0.1,0.59,0.06,0.01,0,0.3,0.01,0.16,0.69,89.65,90.35,-0.01,0.39,0.73,-0.11,0,0,0,20.63
1.39,1,11.49,0.01,0.03,0,2.07,0.03,1.07,0.37,89.82,90.18,-0.1,0.55,-0.01,0.01,0,0.3,0.01,0.16,0.69,89.65,90.35,-0.01,0.39,0.68,0.04,0,0,0,20.63
1.39,1,11.46,0,0.11,0,7.56,0.11,3.89,-0.85,90.43,89.57,-0.11,0.47,0.03,-0.04,0,-4.99,-0.04,-2.54,4.56,87.72,92.28,0.04,0.39,0.74,-0.08,0,0,0,20.63
1.4,1,11.39,0.06,0.11,0,7.56,0.11,3.89,-0.85,90.43,89.57,-0.12,0.44,-0.01,-0.04,0,-4.99,-0.04,-2.54,4.56,87.72,92.28,0.05,0.39,0.69,-0.1,0,0,0,20.63
1.4,1,11.31,0.05,0.11,0,7.56,0.11,3.89,-0.85,90.43,89.57,-0.12,0.37,-0.03,-0.04,0,-4.99,-0.04,-2.54,4.56,87.72,92.28,0.05,0.39,0.66,-0.11,0,0,0,20.63
1.4,1,11.27,0,0.11,0,7.56,0.11,3.89,-0.85,90.43,89.57,-0.12,0.29,0.08,-0.04,0,-4.99,-0.04,-2.54,4.56,87.72,92.28,0.05,0.39,0.88,-0.04,0,0,0,20.63
1.4,1,11.28,0.09,0.11,0,7.56,0.11,3.89,-0.85,90.43,89.57,-0.12,0.42,0.13,-0.04,0,-4.99,-0.04,-2.54,4.56,87.72,92.28,0.05,0.39,0.89,-0.07,0,0,0,20.63
1.4,1,11.31,0.08,0.11,0,7.56,0.11,3.89,-0.85,90.43,89.57,-0.14,0.29,0.2,-0.04,0,-4.99,-0.04,-2.54,4.56,87.72,92.28,0.18,0.27,0.86,-0.07,0,0,0,20.63
1.4,1,11.23,0.1,0.15,0,4.17,0.15,2.24,-0.85,90.43,89.57,-0.15,0.48,-0.06,-0.19,0,-15.27,-0.19,-7.83,4.56,87.72,92.28,0.19,0.25,0.98,-0.07,0,0,0,20.63
1.4,1,11.24,0.19,0.15,0,4.17,0.15,2.24,-0.85,90.43,89.57,-0.15,0.4,0.19,-0.19,0,-15.27,-0.19,-7.83,4.56,87.72,92.28,0.19,0.25,0.99,-0.15,0,0,0,20.63
1.41,1,11.18,0.11,0.15,0,4.17,0.15,2.24,-0.85,90.43,89.57,-0.15,0.48,0.06,-0.19,0,-15.27,-0.19,-7.83,4.56,87.72,92.28,0.19,0.25,0.88,-0.08,0,0,0,20.63
1.41,1,11.17,0.19,0.15,0,4.17,0.15,2.24,-0.85,90.43,89.57,-0.2,0.5,0.12,-0.19,0,-15.27,-0.19,-7.83,4.56,87.72,92.28,0.17,0.12,0.91,0,0,0,0,20.63
1.41,1,11.16,0.26,0.15,0,4.17,0.15,2.24,-0.85,90.43,89.57,-0.23,0.49,0.03,-0.19,0,-15.27,-0.19,-7.83,4.56,87.72,92.28,0.15,0.08,0.9,-0.1,0,0,0,20.63
1.41,1,11.21,0.24,0.15,0,4.17,0.15,2.24,-0.85,90.43,89.57,-0.23,0.43,0.13,-0.19,0,-15.27,-0.19,-7.83,4.56,87.72,92.28,0.15,0.08,0.7,-0.06,0,0,0,20.63
1.41,1,11.18,0.27,0.15,0,4.17,0.15,2.24,-0.85,90.43,89.57,-0.23,0.36,0.14,-0.19,0,-15.27,-0.19,-7.83,4.56,87.72,92.28,0.15,0.08,0.78,-0.05,0,0,0,20.63
1.41,1,11.09,0.19,0.23,0.01,7.49,0.23,3.97,2.25,88.87,91.13,-0.23,0.34,0.09,-0.15,0,4.16,-0.15,1.93,3.8,88.1,91.9,0.15,0.08,0.61,-0.04,0,0,0,20.63
1.42,1,11.08,0.3,0.23,0.01,7.49,0.23,3.97,2.25,88.87,91.13,-0.25,0.43,0.09,-0.15,0,4.16,-0.15,1.93,3.8,88.1,91.9,0.14,-0.11,0.6,-0.07,0,0,0,20.63
1.42,1,11.18,0.22,0.23,0.01,7.49,0.23,3.97,2.25,88.87,91.13,-0.28,0.34,0.06,-0.15,0,4.16,-0.15,1.93,3.8,88.1,91.9,0.14,-0.15,0.42,0.07,0,0,0,20.63
1.42,1,11.19,0.28,0.23,0.01,7.49,0.23,3.97,2.25,88.87,91.13,-0.28,0.42,0.03,-0.15,0,4.16,-0.15,1.93,3.8,88.1,91.9,0.14,-0.15,0.44,-0.03,0,0,0,20.63
1.42,1,11.03,0.17,0.23,0.01,7.49,0.23,3.97,2.25,88.87,91.13,-0.32,0.34,0.05,-0.15,0,4.16,-0.15,1.93,3.8,88.1,91.9,0.09,-0.26,0.31,-0.03,0,0,0,20.63
1.42,1,11.09,0.25,0.23,0.01,7.49,0.23,3.97,2.25,88.87,91.13,-0.32,0.36,0.14,-0.15,0,4.16,-0.15,1.93,3.8,88.1,91.9,0.09,-0.26,0.24,0.01,0,0,0,20.63
1.42,1,11.1,0.2,0.23,0.01,7.49,0.23,3.97,2.25,88.87,91.13,-0.32,0.35,-0.03,-0.15,0,4.16,-0.15,1.93,3.8,88.1,91.9,0.09,-0.26,0.28,0.08,0,0,0,20.63
1.42,1,11.05,0.15,0.36,0.01,13.48,0.36,7.1,2.25,88.87,91.13,-0.36,0.3,0.03,-0.06,0,8.86,-0.06,4.37,3.8,88.1,91.9,0.06,-0.38,0.15,-0.02,0,0,0,20.63
1.43,1,11.13,0.27,0.36,0.01,13.48,0.36,7.1,2.25,88.87,91.13,-0.36,0.34,0.13,-0.06,0,8.86,-0.06,4.37,3.8,88.1,91.9,0.06,-0.38,0.15,0.08,0,0,0,20.63
1.43,1,11,0.3,0.36,0.01,13.48,0.36,7.1,2.25,88.87,91.13,-0.4,0.28,0.08,-0.06,0,8.86,-0.06,4.37,3.8,88.1,91.9,0.07,-0.44,0.11,-0.01,0,0,0,20.63
1.43,1,11.05,0.29,0.36,0.01,13.48,0.36,7.1,2.25,88.87,91.13,-0.38,0.26,0.11,-0.06,0,8.86,-0.06,4.37,3.8,88.1,91.9,0.06,-0.48,0.19,-0.19,0,0,0,20.63
1.43,1,11.04,0.32,0.36,0.01,13.48,0.36,7.1,2.25,88.87,91.13,-0.41,0.25,0.05,-0.06,0,8.86,-0.06,4.37,3.8,88.1,91.9,0.08,-0.53,0.24,-0.13,0,0,0,20.63
1.43,1,11,0.22,0.36,0.01,13.48,0.36,7.1,2.25,88.87,91.13,-0.42,0.22,0.03,-0.06,0,8.86,-0.06,4.37,3.8,88.1,91.9,0.09,-0.57,0.3,0,0,0,0,20.63
1.43,1,11.11,0.16,0.43,0.01,7.14,0.43,4.01,-3.43,91.72,88.28,-0.43,0.26,0.06,-0.09,-0.01,-2.72,-0.09,-1.45,2.53,88.74,91.26,0.09,-0.59,0.28,0.05,0,0,0,20.63
1.44,1,11.02,0.13,0.43,0.01,7.14,0.43,4.01,-3.43,91.72,88.28,-0.42,0.24,0.11,-0.09,-0.01,-2.72,-0.09,-1.45,2.53,88.74,91.26,0.09,-0.64,0.35,-0.11,0,0,0,20.63
1.44,1,10.94,0.28,0.43,0.01,7.14,0.43,4.01,-3.43,91.72,88.28,-0.42,0.25,-0.03,-0.09,-0.01,-2.72,-0.09,-1.45,2.53,88.74,91.26,0.09,-0.64,0.26,0.01,0,0,0,20.63
1.44,1,10.93,0.16,0.43,0.01,7.14,0.43,4.01,-3.43,91.72,88.28,-0.45,0.31,0.06,-0.09,-0.01,-2.72,-0.09,-1.45,2.53,88.74,91.26,0.1,-0.69,0.36,-0.03,0,0,0,20.63
1.44,1,10.84,0.14,0.43,0.01,7.14,0.43,4.01,-3.43,91.72,88.28,-0.45,0.32,0.04,-0.09,-0.01,-2.72,-0.09,-1.45,2.53,88.74,91.26,0.09,-0.74,0.24,0.07,0,0,0,20.63
1.44,1,10.8,0.17,0.43,0.01,7.14,0.43,4.01,-3.43,91.72,88.28,-0.45,0.27,-0.08,-0.09,-0.01,-2.72,-0.09,-1.45,2.53,88.74,91.26,0.05,-0.75,0.39,-0.01,0,0,0,20.63
1.44,1,10.68,0.12,0.45,0.02,1.87,0.45,1.39,-3.43,91.72,88.28,-0.45,0.37,-0.1,-0.05,-0.01,4.48,-0.05,2.19,2.53,88.74,91.26,0.05,-0.8,0.3,0.04,0,0,0,20.63
1.45,1,10.52,0.13,0.45,0.02,1.87,0.45,1.39,-3.43,91.72,88.28,-0.45,0.41,0.1,-0.05,-0.01,4.48,-0.05,2.19,2.53,88.74,91.26,0.05,-0.8,0.38,0.13,0,0,0,20.63
